Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB
302,East Texas A&M,Slnd,19,6-13,98.9,110.1,0.2251,49.2,51.1,19.1,15.8,26.1,32.7,30.4,34.3,51.4,47.5,31.1,38,45.7,38.4,68.7,-10.2
354,Air Force,MWC,16,0-16,94.1,115.1,0.0896,47.6,60.5,23.4,13.9,19.3,31.8,27.9,37.3,48.6,59,31,41.7,45.1,40.7,67.5,-10.2
337,Chicago St.,NEC,16,5-11,99.8,118,0.127,47.2,54.8,13.5,21,26.3,31.2,29,35.5,44.6,57.8,34.9,34.6,33.5,50,64.4,-10.3
344,Saint Francis,NEC,15,4-11,101.4,121.6,0.1096,51.2,55.5,17.3,19.5,28.7,34.2,38.8,44.6,48.1,56.7,37.2,35.6,40.3,35.6,70.7,-10.3
272,UC Riverside,BW,17,4-13,101.9,111.2,0.2681,47.5,51.7,17.9,17.1,29.6,30.2,34.7,43,48.3,51.8,30.8,34.4,38.9,33.2,68.3,-10.4
317,North Florida,ASun,16,4-12,108.8,123.5,0.1875,55.6,55.2,17.1,10.9,28.8,33.4,29.2,29.4,56,56,36.9,36,51.9,40.3,70.5,-10.4
347,UTSA,Amer,15,1-14,100.3,120.9,0.1052,45.7,56.8,17.6,14.7,29.6,39.1,27.2,32.5,46.7,56.4,29.5,38.2,40.3,43.6,69,-10.7
216,Indiana St.,MVC,18,3-15,108.8,112.4,0.4088,54,54,19,13.7,26.5,29.3,31,29.4,57.7,55.2,32.8,34.6,44,36.1,68.1,-10.9
313,Northeastern,CAA,15,2-13,108,122.2,0.1954,52.7,59.9,14.3,16.2,25.1,31.2,25.5,40.3,53.8,60.2,34,39.5,39.1,38,70.4,-10.9
303,Southeastern Louisiana,Slnd,19,5-14,98.7,110.1,0.2215,47.2,51.6,18.7,18.4,30.2,32.4,42.3,38,48.2,48.9,30.3,37.2,37.2,38.9,65.8,-11.1
307,Evansville,MVC,17,2-15,100,112,0.2128,50.3,54.9,19.7,14.9,19.9,29.1,25.3,29.6,49.7,55.7,34,35.8,43.8,42.9,67.4,-11.1
357,UMKC,Sum,14,1-13,94.1,117.3,0.0735,47.2,56.1,17.6,15.2,27,34.6,24.8,30.9,49.4,54.8,29,38.6,37.2,41.1,70.4,-11.1
332,Cal St. Bakersfield,BW,16,2-14,101.5,118.9,0.1397,45.2,55.8,18,17.2,30.6,33.8,39.1,45.3,44.2,53.2,31.7,39.8,27.9,40.1,70.8,-11.2
355,Binghamton,AE,14,2-12,98.5,121.2,0.0843,50.8,52.9,16.6,12.9,18.6,29.1,36,38.3,49.4,54.5,36.2,33.7,29.3,39.3,64.8,-11.2
